Oil price ,Reference,Low,High
2019,63.46950127,56.73280937,70.20619316
2020,58.25980392,43.69485294,72.8247549
2021,56.27483019,42.20612265,70.34353774
2022,60.99866202,41.8647292,84.67532002
2023,65.72249385,41.52333575,99.00710229
2024,70.44632569,41.18194231,113.3388846
2025,75.17015752,40.84054886,127.6706668
2026,79.89398935,40.49915541,142.0024491
2027,84.61782118,40.15776197,156.3342314
2028,89.34165301,39.81636852,170.6660137
2029,94.06548484,39.47497507,184.9977959
2030,96.55319179,39.08900612,192.9926427
2031,98.68092636,40.07988085,195.4186646
2032,99.69036038,40.59493071,198.443974
2033,101.0765848,41.31572008,200.2996759
2034,102.7085194,42.05954472,204.4453101
2035,103.8804934,42.7777263,207.7683514
2036,104.3491523,43.487683,210.3597935
2037,106.906041,44.58709347,211.8926375
2038,108.1023068,45.18928939,214.6033284
2039,109.081369,46.0222396,218.1383109
2040,110.3431394,46.68544857,220.0907537
2041,111.5163116,47.19661432,222.7712871
2042,112.1030127,47.69612876,226.1389915
2043,112.8232778,48.19393727,228.2146983
2044,113.8075785,49.30750905,228.1580343
2045,114.4654419,49.92444984,229.2389489
2046,114.8324481,50.80719244,231.2104056
2047,115.6044175,51.64599586,233.2367808
2048,116.6090894,52.52288837,235.631424
2049,117.536543,52.92693513,236.8756472
2050,118.1238318,53.71261023,238.7256031
